#Strain,PVA-MXene_Stress(MPa),CS-CMC_Stress(MPa)
0,0,0
0,0,0
0,0.00052,0.00052
0,0.00065,0.00065
0,0.00136,0.00136
0,0.00162,0.00162
0,0.00279,0.008739851
0.764474,0.00344,0.010142354
2.461986,0.00422,0.011764368
4.261586,0.00545,0.013609304
6.270111,0.00662,0.015678737
8.273888,0.00812,0.017971935
10.455724,0.01026,0.02048548
12.649433,0.01344,0.02321299
14.855011,0.01766,0.026145037
17.172174,0.02214,0.029269156
19.489338,0.02773,0.032570083
21.875349,0.03331,0.036030123
24.249495,0.0387,0.039629627
26.697235,0.04494,0.043347562
29.099869,0.05045,0.047162152
31.585594,0.05571,0.051051551
34.054703,0.06084,0.05499449
36.580791,0.0661,0.058970848
39.045151,0.07175,0.062962151
41.580734,0.07649,0.066951969
44.073586,0.08065,0.070926145
46.580677,0.08468,0.074872999
49.097271,0.08825,0.078783259
51.604366,0.09221,0.082650087
54.142326,0.09584,0.086468808
56.637547,0.09974,0.090236768
59.192127,0.10351,0.093953049
61.684975,0.10773,0.09761822
64.260918,0.11214,0.1012341
66.78701,0.11584,0.10480353
69.327339,0.11948,0.10833022
71.84156,0.1226,0.111818568
74.389015,0.12597,0.115273602
76.888985,0.12981,0.118700853
79.434067,0.13338,0.12210638
81.981522,0.13682,0.125496644
84.543221,0.14071,0.128878514
87.069313,0.14448,0.132259159
89.619141,0.14844,0.135645947
92.147598,0.15169,0.139046291
94.685562,0.15487,0.142467434
97.225891,0.1576,0.145916246
99.592918,0.15942,0.149398934
102.418144,0.16214,0.15292074
104.583359,0.16643,0.156485684
107.558159,0.17058,0.160096266
109.903816,0.17481,0.163753249
112.477386,0.17883,0.167455513
115.01535,0.18325,0.171199951
117.574677,0.1874,0.174981499
120.219467,0.19136,0.178793211
122.743179,0.19643,0.182626534
125.010483,0.20045,0.186471567
127.821465,0.20649,0.190317446
129.974823,0.21136,0.194152783
132.842789,0.21838,0.197966125
135.13858,0.2237,0.201746415
137.932938,0.22851,0.20548344
140.482773,0.23305,0.209168175
143.006485,0.23623,0.212793118
145.42099,0.23935,0.216352468
147.669312,0.24208,0.219842283
150.636978,0.24565,0.223260454
